,Class,Paths,Pixel
73,1,DATA/yes/Y246.JPG,"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[56 56 56]
  [59 59 59]
  [58 58 58]
  ...
  [61 61 61]
  [55 55 55]
  [52 52 52]]

 [[52 52 52]
  [56 56 56]
  [59 59 59]
  ...
  [ 1  1  1]
  [ 2  2  2]
  [ 1  1  1]]

 [[ 0  0  0]
  [ 3  3  3]
  [10 10 10]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]"
205,0,DATA/no/N11.jpg,"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [51 51 51]
  [49 49 49]
  [48 48 48]]

 [[47 47 47]
  [47 47 47]
  [44 44 44]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]]"
139,1,DATA/yes/Y8.jpg,"[[[255 255 255]
  [253 253 253]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [254 254 254]
  [255 255 255]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 [[ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]]

 ...

 [[ 11  11  11]
  [ 11  11  11]
  [ 11  11  11]
  ...
  [115 115 115]
  [118 118 118]
  [118 118 118]]

 [[128 128 128]
  [125 125 125]
  [125 125 125]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]]

 [[ 12  12  12]
  [ 12  12  12]
  [ 11  11  11]
  ...
  [ 89  89  89]
  [ 88  88  88]
  [ 90  90  90]]]"
171,0,DATA/no/25 no.jpg,"[[[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [ 10  10  10]
  [  0   0   0]
  ...
  [ 45  45  45]
  [ 72  72  72]
  [100 100 100]]

 [[170 170 170]
  [150 150 150]
  [131 131 131]
  ...
  [200 200 200]
  [201 201 201]
  [203 203 203]]

 [[200 200 200]
  [203 203 203]
  [204 204 204]
  ...
  [ 95  95  95]
  [111 111 111]
  [114 114 114]]]"
102,1,DATA/yes/Y39.jpg,"[[[  3   2   2]
  [  3   4   4]
  [  2   0   4]
  ...
  [  4   3   2]
  [  3   4   2]
  [  2   2   2]]

 [[  2   2   3]
  [  4   3   3]
  [  3   3   3]
  ...
  [  4   9   8]
  [  7   7   7]
  [  6   4   3]]

 [[  4  14  32]
  [ 53  73  89]
  [100 106 110]
  ...
  [  5   6   7]
  [  8   8  15]
  [ 12   9   7]]

 ...

 [[  4   5   4]
  [  3   7   0]
  [  0   5  12]
  ...
  [158 177 185]
  [179 165 167]
  [183 184 171]]

 [[196 218 221]
  [211 212 205]
  [189 183 182]
  ...
  [  3   3   2]
  [  2   1   3]
  [  3   2   2]]

 [[  2   2   3]
  [  3   2   2]
  [  2   3   3]
  ...
  [  5   4   3]
  [  2   3   3]
  [  3   1   1]]]"
232,0,DATA/no/no 100.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]

 ...

 [[ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 2  2  2]
  ...
  [85 85 85]
  [76 76 76]
  [78 78 78]]]"
215,0,DATA/no/N3.jpg,"[[[  3   3   3]
  [  3   3   3]
  [  3   3   0]
  ...
  [  4   4   5]
  [  4   2   4]
  [  4   3   2]]

 [[  3   3   4]
  [  4   4   4]
  [  4   4   4]
  ...
  [  2   2   2]
  [  2   2   3]
  [  3   3   3]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [ 52  48  59]
  [ 80  98  81]
  [ 62  75  85]]

 ...

 [[ 16  80  94]
  [ 20   0   6]
  [  1 114 226]
  ...
  [ 42  46  45]
  [ 42  40  39]
  [ 39  39  39]]

 [[ 38  36  42]
  [ 51  54  59]
  [ 65  65  62]
  ...
  [ 70  39   4]
  [  5  27  37]
  [ 27  11  17]]

 [[ 31  11   0]
  [  0   1   0]
  [ 52 124 123]
  ...
  [ 38  39  39]
  [ 39  39  42]
  [ 42  43  46]]]"
132,1,DATA/yes/Y73.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
129,1,DATA/yes/Y7.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[215 215 215]
  [213 213 213]
  [208 208 208]
  ...
  [ 25  25  25]
  [ 36  36  36]
  [ 39  39  39]]

 [[ 42  42  42]
  [ 36  36  36]
  [ 25  25  25]
  ...
  [ 81  81  81]
  [ 79  79  79]
  [ 75  75  75]]

 [[ 70  70  70]
  [ 66  66  66]
  [ 64  64  64]
  ...
  [186 186 186]
  [186 186 186]
  [181 181 181]]]"
101,1,DATA/yes/Y38.jpg,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 2 2]
  [2 2 2]
  [2 1 1]]

 [[3 3 3]
  [3 2 2]
  [1 1 0]
  ...
  [1 1 1]
  [1 1 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[8 5 0]
  [0 0 0]
  [7 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 1 1]
  [1 2 2]
  [1 0 1]]]"
175,0,DATA/no/29 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  6   6   6]
  [  6   6   6]
  [  6   6   6]]

 [[  6   6   6]
  [  6   6   6]
  [  6   6   6]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]]

 ...

 [[ 18  18  18]
  [ 26  26  26]
  [ 50  50  50]
  ...
  [ 97  97  97]
  [ 97  97  97]
  [ 97  97  97]]

 [[ 97  97  97]
  [ 97  97  97]
  [ 89  89  89]
  ...
  [105 105 105]
  [ 99  99  99]
  [ 95  95  95]]

 [[ 96  96  96]
  [ 95  95  95]
  [ 95  95  95]
  ...
  [ 27  27  27]
  [ 47  47  47]
  [ 39  39  39]]]"
183,0,DATA/no/36 no.jpg,"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 ...

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]
  ...
  [54 54 54]
  [50 50 50]
  [45 45 45]]

 [[48 48 48]
  [46 46 46]
  [44 44 44]
  ...
  [92 92 92]
  [88 88 88]
  [94 94 94]]]"
216,0,DATA/no/N5.jpg,"[[[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  0   0   0]
  [  0   0   0]
  [  3   3   3]]

 [[  6   6   6]
  [  7   7   7]
  [  3   3   3]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[ 87  87  87]
  [ 87  87  87]
  [ 85  85  85]
  ...
  [104 104 104]
  [ 94  94  94]
  [ 97  97  97]]

 [[105 105 105]
  [ 93  93  93]
  [ 95  95  95]
  ...
  [ 85  85  85]
  [ 86  86  86]
  [ 86  86  86]]

 [[ 86  86  86]
  [ 87  87  87]
  [ 87  87  87]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]]"
148,1,DATA/yes/Y92.jpg,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 ...

 [[ 10  10  10]
  [ 46  46  46]
  [ 56  56  56]
  ...
  [ 75  75  75]
  [ 73  73  73]
  [ 62  62  62]]

 [[ 58  58  58]
  [ 64  64  64]
  [ 69  69  69]
  ...
  [ 68  68  68]
  [ 70  70  70]
  [ 71  71  71]]

 [[ 83  83  83]
  [ 97  97  97]
  [141 141 141]
  ...
  [ 73  73  73]
  [ 73  73  73]
  [ 72  72  72]]]"
86,1,DATA/yes/Y258.JPG,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[103 103 103]
  [100 100 100]
  [100 100 100]
  ...
  [ 59  59  59]
  [ 63  63  63]
  [ 69  69  69]]

 [[ 86  86  86]
  [ 97  97  97]
  [104 104 104]
  ...
  [ 91  91  91]
  [ 91  91  91]
  [ 91  91  91]]

 [[ 93  93  93]
  [ 95  95  95]
  [ 96  96  96]
  ...
  [ 83  83  83]
  [ 83  83  83]
  [ 83  83  83]]]"
187,0,DATA/no/4 no.jpg,"[[[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  0   0   0]
  [  0   0   0]
  [  3   3   3]]

 [[  6   6   6]
  [  7   7   7]
  [  3   3   3]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[ 87  87  87]
  [ 87  87  87]
  [ 85  85  85]
  ...
  [104 104 104]
  [ 94  94  94]
  [ 97  97  97]]

 [[105 105 105]
  [ 93  93  93]
  [ 95  95  95]
  ...
  [ 85  85  85]
  [ 86  86  86]
  [ 86  86  86]]

 [[ 86  86  86]
  [ 87  87  87]
  [ 87  87  87]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]]"
77,1,DATA/yes/Y25.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 83  83  83]
  [ 87  87  87]
  [ 91  91  91]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 87  87  87]
  [ 92  92  92]
  [ 96  96  96]]

 [[109 109 109]
  [111 111 111]
  [112 112 112]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
43,1,DATA/yes/Y167.JPG,"[[[  0   0   0]
  [  6   6   6]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[ 87  87  87]
  [ 88  88  88]
  [ 88  88  88]
  ...
  [254 254 254]
  [253 253 253]
  [242 242 242]]

 [[192 192 192]
  [ 79  79  79]
  [ 17  17  17]
  ...
  [  0   0   0]
  [255 255 255]
  [255 255 255]]

 [[  0   0   0]
  [  1   1   1]
  [232 232 232]
  ...
  [255 255 255]
  [255 255 255]
  [253 253 253]]]"
189,0,DATA/no/41 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  1   1   1]
  ...
  [102 102 102]
  [ 66  66  66]
  [ 19  19  19]]]"
194,0,DATA/no/46 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 53  53  53]
  [ 56  56  56]
  [ 60  60  60]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [134 134 134]
  [135 135 135]
  [145 145 145]]

 [[155 155 155]
  [149 149 149]
  [133 133 133]
  ...
  [ 88  88  88]
  [ 98  98  98]
  [105 105 105]]]"
152,1,DATA/yes/Y97.JPG,"[[[ 25  25  25]
  [ 34  34  34]
  [ 25  25  25]
  ...
  [ 27  27  27]
  [ 27  27  27]
  [ 27  27  27]]

 [[ 26  26  26]
  [ 26  26  26]
  [ 26  26  26]
  ...
  [170 170 170]
  [170 170 170]
  [170 170 170]]

 [[169 169 169]
  [169 169 169]
  [169 169 169]
  ...
  [ 58  58  58]
  [ 57  57  57]
  [ 56  56  56]]

 ...

 [[110 110 110]
  [108 108 108]
  [105 105 105]
  ...
  [ 63  63  63]
  [ 90  90  90]
  [110 110 110]]

 [[112 112 112]
  [111 111 111]
  [110 110 110]
  ...
  [  8   8   8]
  [  0   0   0]
  [  0   0   0]]

 [[ 27  27  27]
  [178 178 178]
  [ 86  86  86]
  ...
  [ 13  13  13]
  [ 16  16  16]
  [ 22  22  22]]]"
153,1,DATA/yes/Y98.JPG,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[99 99 99]
  [92 92 92]
  [90 90 90]
  ...
  [88 88 88]
  [88 88 88]
  [78 78 78]]

 [[73 73 73]
  [76 76 76]
  [77 77 77]
  ...
  [69 69 69]
  [74 74 74]
  [77 77 77]]

 [[74 74 74]
  [73 73 73]
  [72 72 72]
  ...
  [65 65 65]
  [66 66 66]
  [68 68 68]]]"
206,0,DATA/no/N15.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[131 138 136]
  [127 124 128]
  [128 131 124]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 70  98  79]
  [ 65 104 127]
  [119 130 126]]

 [[136 134 125]
  [132 134 125]
  [113  87  78]
  ...
  [ 13   0   0]
  [  0   0   0]
  [  0   0   0]]]"
192,0,DATA/no/44no.jpg,"[[[ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 15  15  15]
  [ 14  14  14]
  [ 14  14  14]
  ...
  [ 11  11  11]
  [ 12  12  12]
  [ 12  12  12]]

 [[ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 ...

 [[ 13  13  13]
  [ 12  12  12]
  [ 11  11  11]
  ...
  [133 133 133]
  [138 138 138]
  [130 130 130]]

 [[121 121 121]
  [107 107 107]
  [ 88  88  88]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]
  ...
  [169 169 169]
  [162 162 162]
  [152 152 152]]]"
213,0,DATA/no/N22.JPG,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[41 41 41]
  [49 49 49]
  [50 50 50]
  ...
  [30 30 30]
  [27 27 27]
  [26 26 26]]

 [[27 27 27]
  [28 28 28]
  [28 28 28]
  ...
  [70 70 70]
  [62 62 62]
  [61 61 61]]

 [[61 61 61]
  [60 60 60]
  [57 57 57]
  ...
  [60 60 60]
  [59 59 59]
  [56 56 56]]]"
83,1,DATA/yes/Y255.JPG,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[127 127 127]
  [137 137 137]
  [141 141 141]
  ...
  [ 60  60  60]
  [ 61  61  61]
  [ 66  66  66]]

 [[ 64  64  64]
  [ 62  62  62]
  [ 61  61  61]
  ...
  [ 67  67  67]
  [ 68  68  68]
  [ 68  68  68]]

 [[ 66  66  66]
  [ 63  63  63]
  [ 54  54  54]
  ...
  [ 66  66  66]
  [ 62  62  62]
  [ 57  57  57]]]"
238,0,DATA/no/no 7.jpeg,"[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 ...

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [94 94 94]
  [97 97 97]
  [99 99 99]]

 [[94 94 94]
  [89 89 89]
  [99 99 99]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]]"
42,1,DATA/yes/Y166.JPG,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
81,1,DATA/yes/Y253.JPG,"[[[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[57 57 57]
  [55 55 55]
  [45 45 45]
  ...
  [91 91 91]
  [92 92 92]
  [90 90 90]]

 [[88 88 88]
  [85 85 85]
  [84 84 84]
  ...
  [24 24 24]
  [28 28 28]
  [41 41 41]]

 [[61 61 61]
  [76 76 76]
  [92 92 92]
  ...
  [93 93 93]
  [76 76 76]
  [54 54 54]]]"
99,1,DATA/yes/Y36.JPG,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   2   1]
  [  0   2   1]
  [  0   2   1]]

 [[  0   1   0]
  [  0   1   0]
  [  0   1   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[250 250 248]
  [255 255 253]
  [255 255 253]
  ...
  [100 102  99]
  [104 106 103]
  [110 112 109]]

 [[121 123 120]
  [128 130 127]
  [139 141 138]
  ...
  [ 12  14  11]
  [ 12  14  11]
  [ 12  14  11]]

 [[  0   2   0]
  [  0   2   0]
  [  0   2   0]
  ...
  [234 234 234]
  [249 249 249]
  [245 245 245]]]"
60,1,DATA/yes/Y193.JPG,"[[[  5   6   8]
  [  5   6   8]
  [  5   6   8]
  ...
  [  5   6   8]
  [  5   6   8]
  [  5   6   8]]

 [[  5   6   8]
  [  5   6   8]
  [  5   6   8]
  ...
  [  5   6   8]
  [  5   6   8]
  [  5   6   8]]

 [[  5   6   8]
  [  5   6   8]
  [  5   6   8]
  ...
  [  5   6   8]
  [  5   6   8]
  [  5   6   8]]

 ...

 [[153 154 159]
  [171 172 177]
  [142 143 147]
  ...
  [112 115 120]
  [141 144 149]
  [150 153 158]]

 [[156 156 164]
  [152 152 160]
  [156 156 164]
  ...
  [110 114 117]
  [157 161 164]
  [165 169 172]]

 [[143 147 150]
  [ 66  69  74]
  [ 31  34  39]
  ...
  [146 150 149]
  [161 165 166]
  [155 159 160]]]"
201,0,DATA/no/7 no.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[44 44 44]
  [39 39 39]
  [36 36 36]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [73 73 73]
  [62 62 62]
  [50 50 50]]

 [[24 24 24]
  [ 4  4  4]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]"
243,0,DATA/no/no 91.jpeg,"[[[  5   5   5]
  [  6   6   6]
  [  4   4   4]
  ...
  [  5   5   5]
  [  5   5   5]
  [  5   5   5]]

 [[  5   5   5]
  [  6   6   6]
  [  6   6   6]
  ...
  [  9   9   9]
  [  8   8   8]
  [  9   9   9]]

 [[  9   9   9]
  [ 10  10  10]
  [ 10  10  10]
  ...
  [  8   8   8]
  [  8   8   8]
  [  8   8   8]]

 ...

 [[ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]
  ...
  [ 80  80  80]
  [106 106 106]
  [130 130 130]]

 [[140 140 140]
  [132 132 132]
  [124 124 124]
  ...
  [ 49  49  49]
  [ 38  38  38]
  [ 18  18  18]]

 [[  6   6   6]
  [ 22  22  22]
  [ 43  43  43]
  ...
  [ 51  51  51]
  [ 53  53  53]
  [ 54  54  54]]]"
